Date,Open,High,Low,Close,Adj Close,Volume
24-11-2022,1113.550049,1117.650024,1092.400024,1095.349976,1095.349976,2933085
25-11-2022,1093.050049,1107,1078.5,1105.349976,1105.349976,1454838
28-11-2022,1100,1110,1094.099976,1101.75,1101.75,673339
29-11-2022,1106,1125.849976,1105,1121.150024,1121.150024,1899345
30-11-2022,1121.150024,1149,1120,1139.650024,1139.650024,2680903
01-12-2022,1145,1145.199951,1117,1124.900024,1124.900024,1360439
02-12-2022,1124.900024,1124.900024,1099,1114.349976,1114.349976,2586376
05-12-2022,1114.349976,1122.550049,1108.150024,1115.349976,1115.349976,1236554
06-12-2022,1115,1117.800049,1103.400024,1109.599976,1109.599976,1180968
07-12-2022,1111,1122.650024,1103.400024,1105.300049,1105.300049,1031921
